ticks,open,high,low,close,date_time
1.68342E+12,50.53,51.72,49.72,51.68,2023/5/7
1.6835E+12,51.68,51.87,50.79,51.34,2023/5/8
1.68359E+12,51.34,52.02,51.07,51.98,2023/5/9
1.68368E+12,51.98,52.31,50.55,50.86,2023/5/10
1.68376E+12,50.86,51.98,48.61,51.21,2023/5/11
1.68385E+12,51.21,52.86,50.09,50.09,2023/5/12
1.68394E+12,50.09,50.09,48.23,48.35,2023/5/13
1.68402E+12,48.35,48.5,47.53,48.02,2023/5/14
1.68411E+12,48.02,53.18,47.94,52.28,2023/5/15
1.6842E+12,52.28,52.51,50.33,50.57,2023/5/16
1.68428E+12,50.57,50.57,49.16,49.72,2023/5/17
1.68437E+12,49.72,49.91,46.1,46.28,2023/5/18
1.68445E+12,46.28,46.95,45.07,46.52,2023/5/19
1.68454E+12,46.52,47.11,45.52,46.34,2023/5/20
1.68463E+12,46.34,47.63,45.51,47.02,2023/5/21
1.68471E+12,47.02,48,45.54,47.58,2023/5/22
1.6848E+12,47.58,50.25,46.2,50.08,2023/5/23
1.68489E+12,50.08,52.23,48.91,51.3,2023/5/24
1.68497E+12,51.3,51.56,47.31,47.77,2023/5/25
1.68506E+12,47.77,47.79,43.56,45.24,2023/5/26
1.68515E+12,45.24,45.3,42.98,43.09,2023/5/27
1.68523E+12,43.09,49.94,43.07,49.94,2023/5/28
1.68532E+12,49.94,50.57,46.34,47.12,2023/5/29
1.6854E+12,47.12,47.38,44.22,44.68,2023/5/30
1.68549E+12,44.68,45.94,43.69,43.93,2023/5/31
1.68558E+12,43.86,44.06,41.54,42.13,2023/6/1
1.68566E+12,42.13,43.61,39.89,41.4,2023/6/2
1.68575E+12,41.4,41.45,39.71,39.75,2023/6/3
1.68584E+12,39.75,41.73,38.95,41.69,2023/6/4
1.68592E+12,41.69,42.61,39.18,40.11,2023/6/5
1.68601E+12,40.11,43.65,39.76,43.65,2023/6/6
1.6861E+12,43.64,45.7,41.64,45.63,2023/6/7
1.68618E+12,45.63,46.13,41.35,41.35,2023/6/8
1.68627E+12,41.35,41.78,40.44,40.8,2023/6/9
1.68636E+12,40.8,43.66,40.57,43.37,2023/6/10
1.68644E+12,43.37,43.59,42.25,42.81,2023/6/11
1.68653E+12,42.81,46.46,39.85,46.45,2023/6/12
1.68661E+12,46.45,46.45,45.33,45.38,2023/6/13
1.6867E+12,45.38,47.54,42.05,44.66,2023/6/14
1.68679E+12,44.66,48.4,43.76,46.63,2023/6/15
1.68687E+12,46.63,46.78,43.14,45.06,2023/6/16
1.68696E+12,45.06,45.06,42.59,42.95,2023/6/17
1.68705E+12,42.95,45.71,42.53,45.41,2023/6/18
1.68713E+12,45.41,45.43,43.84,45.22,2023/6/19
1.68722E+12,45.22,53.13,45.14,52.71,2023/6/20
1.68731E+12,52.71,59.24,51.99,55.83,2023/6/21
1.68739E+12,55.83,56.2,50.91,51.05,2023/6/22
1.68748E+12,51.05,53.97,49.39,52.71,2023/6/23
1.68756E+12,52.71,52.75,44.6,49.15,2023/6/24
1.68765E+12,49.15,50.83,48.72,49.51,2023/6/25
1.68774E+12,49.51,52.12,48.66,49.51,2023/6/26
1.68782E+12,49.51,50.67,48.87,48.92,2023/6/27
1.68791E+12,48.92,48.92,46.94,48.44,2023/6/28
1.688E+12,48.44,48.59,43.41,43.52,2023/6/29
1.68808E+12,43.52,47.17,42.92,46.06,2023/6/30
1.68817E+12,46.06,46.56,44.63,46.56,2023/7/1
1.68826E+12,46.56,47.89,46.54,47.88,2023/7/2
1.68834E+12,47.88,49.62,46.67,49.05,2023/7/3
1.68843E+12,48.16,48.18,46.47,46.61,2023/7/4
1.68852E+12,46.61,46.65,45.22,46.45,2023/7/5
1.6886E+12,46.45,49.92,45.36,47.96,2023/7/6
1.68869E+12,47.96,48.37,44.81,45.04,2023/7/7
1.68877E+12,45.04,45.27,43.55,44.01,2023/7/8
1.68886E+12,44.01,44.67,43.45,43.89,2023/7/9
1.68895E+12,43.89,44.83,43.55,44.26,2023/7/10
1.68903E+12,44.26,44.53,43.07,43.96,2023/7/11
1.68912E+12,43.96,46.49,41.23,41.26,2023/7/12
1.68921E+12,41.26,46.55,40.63,45.15,2023/7/13
1.68929E+12,45.15,45.45,42.08,42.21,2023/7/14
1.68938E+12,42.21,43.32,41.63,42.98,2023/7/15
1.68947E+12,42.98,43.03,42.01,42.1,2023/7/16
1.68955E+12,42.1,43.47,41.79,42.9,2023/7/17
1.68964E+12,42.9,43.57,42.06,42.67,2023/7/18
1.68972E+12,42.67,42.68,40.52,40.53,2023/7/19
1.68981E+12,40.53,42.05,40.08,41.62,2023/7/20
1.6899E+12,41.62,41.79,38.63,38.76,2023/7/21
1.68998E+12,38.76,39.31,37.36,39.07,2023/7/22
1.69007E+12,39.07,39.49,37.54,39.27,2023/7/23
1.69016E+12,39.27,39.65,37.58,38.25,2023/7/24
1.69024E+12,38.25,38.38,36.47,37.77,2023/7/25
1.69033E+12,37.77,39.35,37.58,38.15,2023/7/26
1.69042E+12,38.15,38.15,36.34,36.36,2023/7/27
1.6905E+12,36.36,36.55,35.05,35.47,2023/7/28
1.69059E+12,35.47,35.48,34.11,34.96,2023/7/29
1.69068E+12,34.96,36.4,34.96,36.33,2023/7/30
1.69076E+12,36.33,37.19,35.75,36.77,2023/7/31
