ticks,volume,cost,status,open,low,high,close,date_time
1.65404E+12,1961.984539,62099670,ok,31790,31351.5,31979,31445,2022/6/1 0:00
1.65407E+12,18022.16021,548342200,ok,31444.5,29265.5,31903.5,29946.5,2022/6/1 8:00
1.65416E+12,9093.862944,274652160,ok,29946.5,29583.5,30729,30460,2022/6/2 8:00
1.65424E+12,8912.016491,264874420,ok,30460,29266.5,30524.5,29671,2022/6/3 8:00
1.65433E+12,3653.258242,108607760,ok,29667.5,29459.5,29964.5,29622,2022/6/4 8:00
1.65442E+12,8697.657409,265128620,ok,29622,29510.5,31422.5,31290.5,2022/6/5 8:00
1.6545E+12,15850.89479,482999240,ok,31290,28818,31740,29570,2022/6/6 8:00
1.65459E+12,19324.06817,590333510,ok,29570,29320,31555,30548,2022/6/7 8:00
1.65468E+12,7410.068559,224937810,ok,30555.5,29903.5,30871.5,30469,2022/6/8 8:00
1.65476E+12,11716.46777,353018820,ok,30469,29500,30692,30054,2022/6/9 8:00
1.65485E+12,15792.79126,463737410,ok,30054,28827.5,30170.5,29298.5,2022/6/10 8:00
1.65493E+12,14906.6829,421727780,ok,29298.5,27156,29311,27606,2022/6/11 8:00
1.65502E+12,31997.06903,839483940,ok,27605.5,24530.5,28305.5,24776,2022/6/12 8:00
1.65511E+12,81365.48566,1855749330,ok,24773,20768,24909.5,22844.5,2022/6/13 8:00
1.65519E+12,44626.38165,981608070,ok,22845,20570,22955.5,20656,2022/6/14 8:00
1.65528E+12,49511.22945,1046967990,ok,20661,20020,22955.5,21741,2022/6/15 8:00
1.65537E+12,29038.18615,606933770,ok,21741,20183.5,21850,21063.5,2022/6/16 8:00
1.65545E+12,25945.30142,527205280,ok,21064,19004.5,21348,19213.5,2022/6/17 8:00
1.65554E+12,37131.51819,692027480,ok,19222.5,17571.5,19506.5,18277.5,2022/6/18 8:00
1.65563E+12,23342.64117,462397370,ok,18274.5,18237.5,20799.5,20057,2022/6/19 8:00
1.65571E+12,13997.45945,287929680,ok,20062,19812.5,21296.5,21098,2022/6/20 8:00
1.6558E+12,15838.05074,331149480,ok,21097.5,19941.5,21724,20074,2022/6/21 8:00
1.65588E+12,16930.79737,343519170,ok,20076,19747,20870.5,20429,2022/6/22 8:00
1.65597E+12,20142.41837,417198110,ok,20431.5,20152.5,21346.5,20923,2022/6/23 8:00
1.65606E+12,13336.22272,281775960,ok,20924,20738.5,21625,21500,2022/6/24 8:00
1.65614E+12,5226.234702,111093050,ok,21505.5,20891,21588,21392.5,2022/6/25 8:00
1.65623E+12,7002.785347,149180210,ok,21392.5,20920.5,21887.5,21353.5,2022/6/26 8:00
1.65632E+12,10148.91115,211817330,ok,21357,20510,21536,20857,2022/6/27 8:00
1.6564E+12,11961.37987,244746670,ok,20858,19867.5,21194.5,20061,2022/6/28 8:00
1.65649E+12,12572.20522,250667130,ok,20061,19280,20415.5,19422,2022/6/29 8:00
1.65658E+12,30347.99312,590469770,ok,19417,18547.5,20900,19548.5,2022/6/30 8:00
1.65666E+12,13746.98535,266002450,ok,19550.5,18939,19795,19096.5,2022/7/1 8:00
1.65675E+12,5057.457478,96977050,ok,19097.5,18756,19434.5,19118.5,2022/7/2 8:00
1.65684E+12,7436.436934,142371530,ok,19118,18920,19636.5,19105,2022/7/3 8:00
1.65692E+12,14900.68615,296703840,ok,19105.5,19093.5,20457,20194.5,2022/7/4 8:00
1.65701E+12,17636.82777,351743100,ok,20194,19282.5,20733,20151.5,2022/7/5 8:00
1.65709E+12,9429.460037,191243160,ok,20151.5,19944,20664,20436.5,2022/7/6 8:00
1.65718E+12,16621.66684,354800850,ok,20436.5,20363.5,22500,21796.5,2022/7/7 8:00
1.65727E+12,11261.1545,243849400,ok,21796.5,21179,22116,21643,2022/7/8 8:00
1.65735E+12,5587.809612,120345930,ok,21643,21110.5,21975,21327.5,2022/7/9 8:00
1.65744E+12,7776.001382,161626780,ok,21328,20353,21414,20435,2022/7/10 8:00
1.65753E+12,11357.53447,228931530,ok,20434,19610,20765.5,19714.5,2022/7/11 8:00
1.65761E+12,12233.84455,239624300,ok,19712.5,19222,19989.5,19695,2022/7/12 8:00
1.6577E+12,20722.76595,407592180,ok,19695,18886.5,20420,19976.5,2022/7/13 8:00
1.65779E+12,15794.72129,319942380,ok,19982,19584.5,20927,20818,2022/7/14 8:00
1.65787E+12,11287.60598,235307950,ok,20817.5,20477,21191,20540,2022/7/15 8:00
1.65796E+12,8961.397045,190051500,ok,20539.5,20539.5,21683.5,21472.5,2022/7/16 8:00
1.65804E+12,11190.68858,239353850,ok,21472.5,20753,22411,22257,2022/7/17 8:00
1.65813E+12,21136.65736,467746760,ok,22256.5,21392.5,22969.5,21777,2022/7/18 8:00
1.65822E+12,19747.46595,455099320,ok,21777,21707.5,23871,23405,2022/7/19 8:00
1.6583E+12,20552.59701,483063980,ok,23401,22638.5,24290,22938.5,2022/7/20 8:00
1.65839E+12,16096.76505,369345940,ok,22935,22340,23354,23141.5,2022/7/21 8:00
1.65848E+12,14811.92454,342522030,ok,23142,22504.5,23776,22768.5,2022/7/22 8:00
1.65856E+12,11013.56875,246793050,ok,22769,21950.5,22881,22699.5,2022/7/23 8:00
1.65865E+12,10905.56382,244866460,ok,22701,21753,23027.5,21964,2022/7/24 8:00
1.65874E+12,14760.89913,319491820,ok,21967.5,20847,22260,21060,2022/7/25 8:00
1.65882E+12,12104.31626,254788590,ok,21059.5,20711,21457,21350,2022/7/26 8:00
1.65891E+12,20203.65086,452015950,ok,21350.5,21137.5,23466,22949.5,2022/7/27 8:00
1.659E+12,19365.04756,458364110,ok,22949.5,22601,24476.5,23976.5,2022/7/28 8:00
1.65908E+12,18459.50023,440706820,ok,23977,23446,24257.5,23905.5,2022/7/29 8:00
1.65917E+12,9452.285061,227744500,ok,23906,23524.5,24694.5,23723,2022/7/30 8:00
1.65925E+12,8216.227574,193703100,ok,23723.5,23127,24212,23343.5,2022/7/31 8:00
1.65934E+12,11619.43087,268520080,ok,23343.5,22723.5,23525.5,22900,2022/8/1 8:00
1.65943E+12,10724.83304,246448140,ok,22898,22660,23477.5,22990,2022/8/2 8:00
